MessageID,Province,City,Gender,Message,Sentiment
3399668958730552,Běijīng 北京,1000,1,阿森纳签亨利打短工，我们斯科尔斯复出救火...枪手红魔真心屌丝...大曼城高帅富无压力！,0.9954222670191715
3399872640875347,Jiāngsū 江苏,10,1,太阳粗来鸟，今天又能躺沙堆鸟，屌丝们撸起来！！！@nearyan @134coffee @人猿岱山 @威武咻哥 @Sincere小聪,0.9952211930424545
3399932686555800,Běijīng 北京,8,1,本本分分，做好屌丝。,0.9795947918280774
3399977453531725,Shànghǎi 上海,20,1,【我们都爱重口味】 操！！！今天点真他妈背。。。。。偷东西遇到真屌丝大战黑丝女“ML”。。。。叫了半天床，却没套套，害得老子还搭上一个“杜蕾斯”。。。。 http://t.cn/SX3lxV  http://t.cn/SX3lxf  --来自@人人小站,0.9178675501848329
3400060832473314,Jiāngxī 江西,1,0,我是一名屌丝。,0.7166242462344824
3400164251451046,Qítā 其他,1000,0,隔壁娃儿的外放太大声了。。。我平时的外放和他相比简直弱爆了。。。我现在自己都不用放歌了，直接听隔壁的有木有！！！ 但是他都不放我平时听的屌丝们的歌。。。这孩子怎么老是放The Black Keys啊......,9.526688055649934e-05
3400189910173408,Húnán 湖南,1000,1,什么才能算好？这个世界没什么不是你的，你干嘛还来稀罕一个无所谓来一个无所谓去！真屌丝给跪了，当真伤不起。,0.554375531250115
3400223330165150,Qítā 其他,1000,1,各位，我就不互粉了，免得无辜屌丝被牵连其中，大冬天快过年的，被咬得了狂犬病可不好。,0.1750873798180036
3400468854498862,Zhèjiāng 浙江,1,1,她继续问我：什么叫爽场。我淡定的回：我调戏妹子，人家配合我我YY了。她回：不懂。我沉住气回：当屌丝给木耳一个抖动问明天有空吗？木耳因为高帅富还没约好只好说看情况。屌丝便开始YY明日行程，从逛街吃饭看电影甚至到宾馆啪啪啪，殊不知都只是可笑的YY……她又一次明白了。,0.0010113991362480368
3400612759242680,Jiāngsū 江苏,6,1,#翻屋企#在机场吃真功夫……屌丝中的战斗丝[囧],0.7351281221577856
3400787848285450,Zhèjiāng 浙江,1,0,屌丝DOTA，矮穷挫LOL,0.7935837550082631
3400795135695500,Héběi 河北,10,1,真正的高帅富姚明同学高数挂了。这让很多屌丝狠狠得出了一口恶气。#Monologue#,0.9690447603667761
3400821816358700,Guǎngdōng 广东,1,0,看了人人上的一篇文章，发现我符合女屌丝的定义～～～[睡觉],0.24778573496842593
3400837709837801,Jiāngsū 江苏,1,0,卧槽！夜店拜金女大骂穷屌丝“你没钱凭什么活着，我就喜欢高富帅给我买名牌！”。。。3分黑木耳。不能再多了 。傻逼死心眼屌丝，这样的贱货还要！http://t.cn/Sag74O,0.6975649498716188
3400930708081412,Tiānjīn 天津,5,1,起大早险些迟到。打车来的屌丝伤不起 http://t.cn/Sak4Ch,0.9631507643711336
3400967891213896,Zhèjiāng 浙江,1000,0,在云大校园里篮球场边帮人捡了个球，他们毫不客气的说！谢谢姐姐！！！！[右哼哼]@钱骞inspire @逸闻俊俏屌丝整装待嫁,0.9744163971979561
3401001742784677,Guǎngdōng 广东,1,1,屌丝,0.7783279603552672
3401095810802951,Zhèjiāng 浙江,2,1,我有一个好友 他上班时候是个2B青年 听歌时候是个普通青年 睡前是个文艺青年 不打私服时候 是个官二代 打私服的时候是个屌丝。看什么看 说的就是你！@灰机撞上雅蠛蝶,0.9998094650235285
3401164903204360,Shǎnxī 陕西,1,1,【不正常人類研究中心】 【屌丝福利】鼻血啊！！宅男终于找到女帝蛇姬大人 ！！！女帝身材太辣啦！！！我靠。果断拖到1分钟以后！！！深沟爆乳神马的可劲形容吧！！！ http://t.cn/z0daIjX  http://t.cn/z0daIja  --来自@人人小站,0.013797575429657427
3401177209012091,Guǎngdōng 广东,1,1,我，是一条屌柴。屌丝+废柴的混合体。,0.9521946028159091
3401190874631868,Sìchuān 四川,1,1,以前来过这里一次，真不错最后在这里找到了鞋子和围巾，我的脚啊…血和袜子都粘连了，痛苦不解释。屌丝表示以后再也不去恒隆了，不是富二代压力好大！！！[哼][哼][哼][哼][哼]    #Weico拼图#,0.07083775669174797
3401256735950752,Jiāngsū 江苏,6,0,@做个乐观的屌丝吧 good luck！,0.9834152983237222
3401276253837270,Hǎiwài 海外,2,1,屌丝还是别找黑木耳…… @正生长走走 你看我的term用的对么,0.9938562906112022
3401297455993699,Liáoníng 辽宁,1,1,早上去驾校看到一纯屌丝，很欠揍的发型,0.8488459337435698
3401368829775904,Běijīng 北京,1000,1,《失恋33天》应该是2011年度屌丝最爱电影的No.1吧~,0.9804693676668641
3401373116857671,Húběi 湖北,1,0,明明可以早点回家可是坚持要陪我到16号的屌丝……[可爱][偷笑],0.5575759133970163
3401373408613007,Guǎngdōng 广东,5,0,林宇好霸气[good]这让重点班的孩子情何以堪啊[偷笑]@明熹-oi @-李越 @金南人柯武享 @钰媚的适缓流年- @屌丝一根-菠萝,0.9999992916140623
3401416900625332,Jiāngsū 江苏,10,1,永远说不完的哦。永远洗不完的澡。永远不睡觉的晚安。永远回不来的走开一下。永远等不到的等下次吧。永远空着肚子的我吃过了。永远安逸的我有事我很忙。永远违心的你是一个好人。永远在线的对你隐身。永远的黑木耳永远的黑名单。永远的你连备胎都不是。永远自悲的屌丝。,0.992619186305119
3401459531620581,Chóngqìng 重庆,8,0,刘耘辰居然是屌丝！！好吓人！@千年之剑不叫宇文锑 @雨_何时会停 有图有JB！！,0.9665292693595547
3401489953711386,Shǎnxī 陕西,1,1,君子难当啊！还是搬砖简单一点。屌丝就是我的命。,0.5344236827660349
3401533784259827,Sìchuān 四川,1,0,屌丝！真屌丝！乃不是回成都了么，然后就没声音了！！！难道乃去勾搭各种妹纸基友啦！！！不吐槽乃我生活还有什么乐趣呀！！！@ALVA冯泽鹏,0.0022532215675452605
3401691764933228,Qítā 其他,1000,0,来伊份真他妈是富逼的选择屌丝的泪啊，每次随便那么拿一点儿就冲几百。怪不得上海人歧视外地人呢，人家出的零食都够我等屌丝给人家横跪舔屌了。,0.41924003492252004
3401894431351136,Jiāngxī 江西,9,1,这就是屌丝和女神最终的结局 给跪了。,0.9981928842295278
3401896493012314,Ānhuī 安徽,11,1,我发现贴吧里要不是虎背熊腰卖萌女，要不就是各种高富帅，我等屌丝只能闷声装死，还是微博比较有爱，么么哒[嘻嘻][嘻嘻],0.9999854856991567
3401896723778961,Jiāngsū 江苏,1,1,大家来比比谁更纯洁把，我先说，我小学毕业后就再没牵过妹子的手，妹子身上所有部位碰最多的地方是肩膀在公交车上，求极品屌丝秒杀我。,0.9929143043028051
3401898761900034,Jiāngsū 江苏,1,1,两个人为什么会相爱？或许我这个年纪的也只有我不知道，我会知道我爱谁，但我不知道她爱不爱我，所以我一直做屌丝该做的事然后妹子高富帅走了，于是我便成了管家，没地位，没说话的权利。备胎去死，屌丝万岁！,0.9987272886493179
3401918854483045,Guǎngdōng 广东,1,1,屌丝们，看完那些年我们一起追的女孩。你们在吵架时一定要顶住啊！向菊哥学习！@永远vieri @猫叔很忙 @一生黑弓刀上飘 @SLJ-老麦 顺便恭喜忠哥菊京获得大奖！,0.9998953845540998
3401940530258504,Běijīng 北京,1000,1,屌丝的必要条件：1.极其善良，懦弱，人群中不敢说话。2.没有木耳，只能撸一天算一天。3.生活单调无趣。 最近狂迷这个小吧http://t.cn/hGWTOn 哈哈,0.23377944868004175
3402049427276550,Shāndōng 山东,10,1,新浪这标题亮了，#高帅富之战#。岂是我等屌丝欣赏得起的。,0.7526570417404223
3402067320131573,Běijīng 北京,8,1,想起前年有一次在中关村买东西 一姑娘迎面过来说“先生你是单身么。我们想做个调查”。。我下意识说“不是”。。然后背对她离开时泪流满面的心想“你妹啊 我看起来那么像单身屌丝么”。虽然的确是吧。。。。。[汗],0.21688022959307374
3402085661654227,Sìchuān 四川,1,1,我手机坏了。接不到电话收不到短信。刚才去修。修手机的大叔说其实我手机没有坏。是根本没人理我。我当时就给大叔跪了。求大叔别说了。大叔说。一看不那挫样就知道是一辈子屌丝命。我转身走到门口的时候。大叔又说话了。我猜扣扣你也玩成单机版了。真心的给大叔跪了。求别说。今天又中枪了。,0.0009965719065393452
3402188932064793,Běijīng 北京,1,1,果然还是南方人淳朴啊。竟然问我人这么好，为什么没有女朋友！草！屌丝啊懂不懂！,0.6689449346346962
3402290076018996,Shànghǎi 上海,10,1,木耳，屌丝和高帅富(zz) - 饮水思源 http://t.cn/z0ehw9C,0.3785302357650425
3402436347896964,Guǎngdōng 广东,1,1,啊啊啊啊，那D8女屌丝的房间真心亮啊！！！http://t.cn/z0gItzP,0.8820462357961779
3402542681794359,Yúnnán 云南,29,0,[信息图]互联网报告解读：千万自由职业网民成就“屌丝”现象  http://t.cn/z0eLJ2H,0.999133326106518
3402550093093537,Shāndōng 山东,1,1,那群屌丝～,0.7893361182211373
3402568900589023,Shànghǎi 上海,15,1,今天和屌丝们玩的很爽啊,0.9358304490116099
3402576923943134,Nèi Ménggǔ 内蒙古,2,1,春运微观察——三大政策碉堡了 看 http://t.cn/z0g5a8q 哪个屌丝干的？,0.7959788917146479
3402602505218329,Yúnnán 云南,1,1,她问我，什么是来信砍。 我解释说，来东北，信不信我砍了你。 她摇摇头说，不懂。 我继续解释说，一些热衷于撸管与跪舔地屌丝，灵魂与尊严被无限践踏后，唯一一个可以支撑起信仰与骄傲的语句。 她，懂了,0.9905846809514077
3402605435556685,Běijīng 北京,5,1,coco店里闪灯太屌，dj震得我头顶爽爆了！坐昕哥旁边今晚喝死屌丝们！！ fuk !!爽翻了！酒里都是狐狸味！就一个字！骚！,0.013190104166864058
3402651656971942,Tiānjīn 天津,5,1,高帅富版：那些年，我们一起上过的女孩。屌丝版：那些年，我们一起下过的女孩。,0.8970943460488991
3402710026398674,Guǎngdōng 广东,1,1, @屌丝好骚年好鬼懒人爷 老公猪猪记得起来给我按时吃饭 要好好的想我 要超级无敌的想我 不许乱想 要超级无敌的爱我 给我喝多点水 不许喝饮料 不许喝冬呢 胃不许给我痛！！！知道没有！！！等我回来[爱你][爱你]我会超级无敌想猪猪的[心][心]我爱你老公[爱你][心][可爱],0.9999999977207847
3402738614650175,Sìchuān 四川,6,1,真的成屌丝了。又睡到8点才起来。真心扶不住,0.11964262026582506
3402814023932856,Jiāngsū 江苏,2,0,同人不同命“高富帅”与“屌丝”一天生活区别 - 【游侠导读】不知从何时起，“高富帅”和“屌丝”这两个词开始扩散，成为2011年末最新的“流行语”，如果你还不懂它们指的是什么意思，那你就真的OUT了！,0.9999915573859022
3402934845023808,Húnán 湖南,1,1,屌丝的逆袭啊屌丝的逆袭 被我一口贱就逆袭不了了啊[泪][泪],0.9724311300527085
3402936455724575,Hénán 河南,1,1,当非洲屌丝遇到了亚洲高帅富。。。这是哪个拍的？！笑尿了 http://t.cn/S4Kvf6  （分享自 @优酷网）,0.9965983751929576
3402976305882233,Guǎngdōng 广东,1000,1,太给力了，是不是？//@林先生我就是不懂谄媚 的咖啡恋人的咖啡店等级排行为8，超过@被逼当屌丝 排名升至第1。http://t.cn/z0eNwkN,0.902607174303335
